Format Version,1.21,Take Name,Session 2,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2021-02-22 11.05.11.836 AM,Total Frames in Take,5475,Total Exported Frames,5475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_1,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_2,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_3,Rigid Body 2_4,Rigid Body 2_4,Rigid Body 2_4,Rigid Body 2_4,Rigid Body 2_5,Rigid Body 2_5,Rigid Body 2_5,Rigid Body 2_5,Unlabeled:100,Unlabeled:100,Unlabeled:100,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker4,Rigid Body 2:Marker4,Rigid Body 2:Marker4,Rigid Body 2:Marker5,Rigid Body 2:Marker5,Rigid Body 2:Marker5,Unlabeled:106,Unlabeled:106,Unlabeled:106,Unlabeled:107,Unlabeled:107,Unlabeled:107,Unlabeled:108,Unlabeled:108,Unlabeled:108,Unlabeled:105,Unlabeled:105,Unlabeled:105,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:104,Unlabeled:104,Unlabeled:104,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:109,Unlabeled:109,Unlabeled:109,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:112,Unlabeled:112,Unlabeled:112,Unlabeled:111,Unlabeled:111,Unlabeled:111,Unlabeled:113,Unlabeled:113,Unlabeled:113,Unlabeled:115,Unlabeled:115,Unlabeled:115,Unlabeled:116,Unlabeled:116,Unlabeled:116,Unlabeled:117,Unlabeled:117,Unlabeled:117,Unlabeled:118,Unlabeled:118,Unlabeled:118,Unlabeled:119,Unlabeled:119,Unlabeled:119,Unlabeled:120,Unlabeled:120,Unlabeled:120
,,"BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","BF8FFA8B74B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","C58BBE5974B111EBC5D8846A0064748E","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E3573500000001","8392B20CF49E3573500000001","8392B20CF49E3573500000001","8392B20CF49E3573500000002","8392B20CF49E3573500000002","8392B20CF49E3573500000002","8392B20CF49E3573500000003","8392B20CF49E3573500000003","8392B20CF49E3573500000003","8392B20CF49E3573600000001","8392B20CF49E3573600000001","8392B20CF49E3573600000001","8392B20CF49E3573600000002","8392B20CF49E3573600000002","8392B20CF49E3573600000002","8392B20CF49E3573600000003","8392B20CF49E3573600000003","8392B20CF49E3573600000003","8392B20CF49E3573600000004","8392B20CF49E3573600000004","8392B20CF49E3573600000004","8392B20CF49E3573600000005","8392B20CF49E3573600000005","8392B20CF49E3573600000005","8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706D","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E357070","8392B20CF49E357070","8392B20CF49E357070","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357071","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357074","8392B20CF49E357074","8392B20CF49E357074","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357075","8392B20CF49E357076","8392B20CF49E357076","8392B20CF49E357076","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357078","8392B20CF49E357078","8392B20CF49E357078"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.029674,-0.193711,0.085425,0.976882,0.402987,-0.215849,0.301298,0.000955,0.379447,-0.235606,0.317180,0.731234,0.438763,-0.231613,0.271705,0.682397,0.390752,-0.180328,0.315009,0.869834,-0.033222,0.033845,-0.032616,-0.998342,0.286099,-0.199463,0.328360,0.000734,0.300837,-0.226395,0.335615,0.793445,0.246258,-0.156136,0.295239,0.860151,0.306532,-0.176806,0.329560,0.900813,0.239476,-0.230688,0.341520,0.702771,0.337392,-0.207289,0.339868,0.825630,-0.035141,-0.224152,0.313864,0.378744,-0.235722,0.317710,0.439508,-0.231546,0.271136,0.390759,-0.180284,0.315009,0.301823,-0.227338,0.334805,0.247151,-0.156449,0.294393,0.305292,-0.176909,0.331517,0.238367,-0.229895,0.342574,0.337811,-0.206620,0.338494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.005000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.010000,0.029695,-0.193729,0.085392,0.976881,0.402989,-0.215850,0.301300,0.000954,0.379446,-0.235606,0.317180,0.731605,0.438765,-0.231614,0.271707,0.682783,0.390756,-0.180329,0.315012,0.869929,-0.033199,0.033863,-0.032607,-0.998343,0.286103,-0.199463,0.328363,0.000733,0.300840,-0.226395,0.335620,0.793769,0.246264,-0.156137,0.295238,0.860423,0.306537,-0.176806,0.329562,0.900804,0.239479,-0.230687,0.341522,0.702784,0.337396,-0.207289,0.339873,0.825542,-0.035139,-0.224152,0.313863,0.378745,-0.235722,0.317709,0.439508,-0.231547,0.271139,0.390762,-0.180284,0.315013,0.301827,-0.227336,0.334809,0.247158,-0.156452,0.294392,0.305296,-0.176908,0.331522,0.238369,-0.229892,0.342576,0.337816,-0.206622,0.338497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015000,0.029660,-0.193726,0.085420,0.976880,0.402993,-0.215840,0.301303,0.000952,0.379451,-0.235596,0.317185,0.732270,0.438769,-0.231605,0.271712,0.683443,0.390758,-0.180318,0.315013,0.870316,-0.033205,0.033870,-0.032643,-0.998341,0.286104,-0.199454,0.328363,0.000732,0.300843,-0.226386,0.335619,0.794002,0.246262,-0.156131,0.295238,0.860884,0.306536,-0.176796,0.329563,0.902084,0.239481,-0.230682,0.341521,0.702538,0.337397,-0.207277,0.339873,0.825450,-0.035141,-0.224153,0.313862,0.378751,-0.235711,0.317713,0.439512,-0.231538,0.271145,0.390764,-0.180274,0.315013,0.301828,-0.227325,0.334810,0.247155,-0.156447,0.294391,0.305298,-0.176903,0.331525,0.238368,-0.229884,0.342576,0.337818,-0.206606,0.338492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.020000,0.029716,-0.193717,0.085408,0.976881,0.402990,-0.215834,0.301305,0.000956,0.379448,-0.235592,0.317185,0.731248,0.438765,-0.231596,0.271711,0.682080,0.390755,-0.180314,0.315019,0.869658,-0.033212,0.033887,-0.032628,-0.998341,0.286104,-0.199453,0.328363,0.000733,0.300841,-0.226384,0.335620,0.794045,0.246264,-0.156128,0.295238,0.860412,0.306536,-0.176795,0.329565,0.901178,0.239480,-0.230679,0.341519,0.702545,0.337396,-0.207277,0.339876,0.825734,-0.035137,-0.224144,0.313855,0.378746,-0.235707,0.317715,0.439511,-0.231529,0.271141,0.390761,-0.180269,0.315020,0.301828,-0.227325,0.334807,0.247159,-0.156443,0.294390,0.305295,-0.176899,0.331528,0.238370,-0.229882,0.342578,0.337814,-0.206609,0.338497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.025000,0.029532,-0.193741,0.085573,0.976867,0.402987,-0.215822,0.301301,0.000968,0.379449,-0.235579,0.317187,0.728780,0.438769,-0.231587,0.271717,0.679783,0.390742,-0.180299,0.314999,0.865330,-0.033197,0.033879,-0.032601,-0.998342,0.286103,-0.199454,0.328364,0.000735,0.300839,-0.226386,0.335621,0.793498,0.246265,-0.156128,0.295237,0.859929,0.306537,-0.176798,0.329564,0.899798,0.239477,-0.230677,0.341521,0.702303,0.337395,-0.207281,0.339875,0.825181,-0.035139,-0.224147,0.313859,0.378748,-0.235703,0.317715,0.439517,-0.231526,0.271145,0.390745,-0.180243,0.315003,0.301827,-0.227330,0.334809,0.247162,-0.156442,0.294391,0.305289,-0.176900,0.331528,0.238368,-0.229880,0.342578,0.337815,-0.206612,0.338498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
